,10A Pocillopora damicornis,11A Pocillopora damicornis,12A Pocillopora damicornis,13 Acropora sp,14 Acropora sp,18 Porites sp,23 Acropora sp,24A Acropora sp,26 Acropora sp,28 Acropora sp,29 Acropora sp,2A Pocillopora damicornis,30A Montipora sp,31A Porites sp,32A Porites sp,33A Montipora sp,34A Montipora sp,35A Montipora sp,36A Montipora sp,3A Pocillopora damicornis,42A Porites sp,43A Pocillopora damicornis,46A Porites sp,47A Porites sp,47B Porites sp,48A Acropora sp,49A Acropora sp,4A Pocillopora damicornis,50A Acropora sp,6A Pocillopora damicornis,7A Porites sp,8A Montipora sp,9AMontipora sp
Zotu2254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0
Zotu2675,3.759398496,0,17.85714286,0,0,0,0,0,0,0,3.984063745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.38461538
Zotu2006,11.27819549,0,0,14.49275362,0,0,0,17.09401709,11.85770751,8.547008547,7.96812749,0,0,0,0,0,18.34862385,0,0,0,0,0,0,0,0,0,0,0,0,4.87804878,0,0,0
Zotu7449,0,0,0,0,0,0,0,0,3.95256917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu2779,0,0,0,0,0,0,0,0,0,0,0,8.620689655,0,0,0,0,0,0,0,0,0,0,0,0,0,4.545454545,6.41025641,0,0,0,0,0,0
Zotu9263,3.759398496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu5136,18.79699248,0,0,9.661835749,0,0,0,0,3.95256917,0,0,0,0,0,0,0,0,7.936507937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu2873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.936507937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu1299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu1297,0,0,0,0,0,9.900990099,0,0,3.95256917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.18181818,25.64102564,0,0,14.63414634,0,0,0
Zotu1302,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,7.936507937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu5732,0,0,0,0,0,0,0,0,0,8.547008547,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.3902439,0
Zotu723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.27272727,0,0,0,0,0,0,0
Zotu2070,0,0,0,0,0,0,0,0,0,0,0,0,0,312.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu1257,18.79699248,0,0,9.661835749,0,0,0,0,7.90513834,0,19.92031873,0,4,0,0,0,9.174311927,0,0,0,0,0,0,0,0,0,0,0,0,4.87804878,0,0,0
Zotu717,0,0,0,0,0,0,0,0,173.9130435,0,0,0,0,0,0,0,0,0,531.9148936,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu2287,0,0,17.85714286,4.830917874,0,0,0,0,11.85770751,0,0,0,0,0,0,0,9.174311927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu2734,0,0,0,4.830917874,0,0,0,0,3.95256917,0,7.96812749,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu872,30.07518797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu4947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu3353,0,0,0,4.830917874,0,0,0,0,0,8.547008547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu2261,0,0,0,0,0,0,21.73913043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.41025641,0,0,0,0,0,0
Zotu7686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.02702703,0,0,0,4.545454545,0,0,0,4.87804878,0,0,0
Zotu1154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,423.0769231,0,0,0,0,0,0
Zotu837,26.31578947,0,0,24.15458937,0,0,0,8.547008547,7.90513834,0,15.93625498,0,4,0,0,0,18.34862385,0,0,0,0,135.1351351,0,0,22.47191011,0,0,0,0,0,0,0,0
Zotu1215,7.518796992,0,0,0,0,0,0,0,0,0,11.95219124,0,20,25,26.73796791,0,9.174311927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu1457,0,0,0,0,0,0,0,0,3.95256917,0,0,43.10344828,4,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu8878,0,0,0,4.830917874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.38461538
Zotu757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu6390,0,0,0,0,0,0,0,8.547008547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.38461538
Zotu5213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.936507937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu6211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu2610,0,0,0,4.830917874,0,0,0,0,3.95256917,0,0,17.24137931,0,0,0,0,0,0,0,0,0,0,0,0,0,4.545454545,6.41025641,0,0,0,0,0,0
Zotu1718,0,0,0,0,0,0,0,0,7.90513834,0,0,0,0,0,0,7.352941176,0,0,0,0,0,0,0,0,0,13.63636364,12.82051282,83.33333333,0,19.51219512,0,0,0
Zotu7882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu1309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.82352941,9.174311927,0,0,0,0,0,0,34.48275862,56.17977528,0,6.41025641,0,0,87.80487805,0,0,0
Zotu1976,0,0,0,0,0,39.6039604,0,0,0,8.547008547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.81818182,0,0,0,0,0,0,0
Zotu4274,7.518796992,0,0,9.661835749,0,0,0,0,0,0,3.984063745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu6553,0,0,0,0,0,0,21.73913043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu2363,3.759398496,0,0,0,0,0,0,0,0,0,0,0,0,25,16.04278075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu8898,0,0,0,0,0,0,0,8.547008547,3.95256917,0,3.984063745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.756097561,0,0,0
Zotu938,18.79699248,0,17.85714286,19.3236715,0,0,0,0,7.90513834,8.547008547,19.92031873,0,0,0,0,0,9.174311927,0,0,0,0,27.02702703,0,0,0,0,0,0,11.36363636,14.63414634,0,0,0
Zotu5294,0,0,0,0,0,0,0,0,0,0,0,17.24137931,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,9.756097561,0,0,0
Zotu4497,0,0,0,0,0,9.900990099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu1611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.76470588,0,0,0,0,0,0,0,0,56.17977528,0,0,0,0,24.3902439,0,0,0
Zotu8814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu4182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,361.7021277,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu1648,15.03759398,0,0,4.830917874,0,0,0,0,0,8.547008547,7.96812749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.38461538
Zotu7113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu4940,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu2418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109.0909091,0,0,0,0,0,0,0
Zotu3878,0,0,0,0,0,0,0,0,3.95256917,0,3.984063745,0,4,0,16.04278075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu2439,0,0,0,4.830917874,0,0,0,0,0,0,0,17.24137931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu722,0,0,0,0,0,0,0,0,0,0,15.93625498,0,0,0,0,0,0,0,1851.06383,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu4922,0,0,0,0,0,0,0,0,0,0,0,8.620689655,0,12.5,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,4.87804878,0,0,0
Zotu865,7.518796992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132.3529412,0,0,0,0,0,0,0,0,78.65168539,0,6.41025641,0,0,151.2195122,0,0,0
Zotu8653,0,0,0,0,0,0,0,8.547008547,0,0,0,0,0,0,0,0,0,0,21.27659574,0,0,0,0,0,0,0,6.41025641,0,0,4.87804878,0,0,0
Zotu5843,3.759398496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu3327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.87301587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu2548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.090909091,6.41025641,0,0,9.756097561,0,0,0
Zotu3984,0,0,0,0,0,0,0,0,0,0,3.984063745,0,4,12.5,26.73796791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu4321,0,0,0,0,0,0,0,0,7.90513834,0,3.984063745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.41025641,0,22.72727273,0,0,0,0
Zotu1358,3.759398496,0,0,0,0,0,0,0,7.90513834,0,3.984063745,0,12,0,96.25668449,0,9.174311927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu2525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu6751,0,0,0,0,0,0,0,0,3.95256917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.87804878,0,0,0
Zotu4245,3.759398496,0,0,0,0,0,0,0,3.95256917,8.547008547,0,0,0,0,0,7.352941176,0,0,0,0,0,0,0,0,0,0,6.41025641,0,0,0,0,0,0
Zotu4415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu4890,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu2395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.545454545,6.41025641,0,0,9.756097561,0,0,0
Zotu6226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu2503,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu9374,0,0,0,0,0,9.900990099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu7087,0,71.42857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.82051282,0,0,0,0,0,0
Zotu4957,0,0,0,0,0,0,0,34.18803419,7.90513834,0,0,8.620689655,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,4.87804878,0,0,0
Zotu6295,0,0,0,0,0,0,0,0,0,8.547008547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu7362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0
Zotu1458,11.27819549,0,0,0,0,0,0,8.547008547,3.95256917,0,19.92031873,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu812,22.55639098,0,0,28.98550725,0,0,0,17.09401709,7.90513834,8.547008547,35.85657371,0,20,0,0,0,0,0,0,0,0,54.05405405,0,0,0,0,0,0,34.09090909,0,0,0,0
Zotu2351,0,0,0,4.830917874,0,0,0,0,0,0,7.96812749,0,0,0,0,0,0,0,21.27659574,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu2369,7.518796992,0,0,4.830917874,0,9.900990099,0,0,0,0,3.984063745,0,4,0,0,0,9.174311927,0,0,0,0,27.02702703,0,0,0,0,0,0,0,0,0,0,0
Zotu4103,0,0,0,0,0,9.900990099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu1234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu2079,0,0,0,0,26.31578947,19.8019802,0,0,0,0,0,0,0,0,0,7.352941176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu1227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,913.7931034,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu856,11.27819549,0,0,14.49275362,0,0,0,8.547008547,19.76284585,8.547008547,19.92031873,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83.33333333,0,4.87804878,0,0,0
Zotu3417,0,0,0,0,0,0,0,0,3.95256917,0,0,25.86206897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu1629,0,0,0,0,0,0,21.73913043,0,0,0,0,0,0,0,0,7.352941176,0,0,0,0,0,0,0,0,0,0,6.41025641,0,0,0,0,0,0
Zotu4876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.24137931,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu1462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,595.505618,0,0,0,0,0,0,0,0
Zotu1117,3.759398496,0,0,0,0,0,0,0,0,0,11.95219124,0,20,37.5,85.56149733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu4126,3.759398496,0,17.85714286,4.830917874,0,0,0,8.547008547,11.85770751,8.547008547,19.92031873,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.45454545,0,0,0,0
Zotu7007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.347593583,0,0,0,0,34.48275862,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu687,30.07518797,0,0,19.3236715,0,0,0,25.64102564,15.81027668,8.547008547,27.88844622,0,40,12.5,0,0,27.52293578,0,0,0,0,108.1081081,0,0,0,0,0,0,22.72727273,4.87804878,0,0,0
Zotu2679,7.518796992,0,0,4.830917874,0,0,0,8.547008547,0,0,3.984063745,0,0,0,0,7.352941176,0,0,0,0,0,0,0,0,0,9.090909091,0,0,0,0,0,0,0
Zotu1013,11.27819549,0,0,19.3236715,0,9.900990099,0,34.18803419,3.95256917,8.547008547,19.92031873,0,12,0,0,0,0,0,0,0,0,54.05405405,0,0,0,0,0,0,0,0,0,0,0
Zotu1691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68.18181818,0,0,0,0,0,0,0
Zotu6950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu2807,0,0,0,0,0,39.6039604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.72727273,0,0,0,0,0,0,0
Zotu1704,0,0,0,9.661835749,0,0,0,0,7.90513834,8.547008547,0,51.72413793,0,25,0,0,0,0,0,0,0,0,0,0,0,0,12.82051282,0,0,0,0,0,0
Zotu7043,0,0,0,0,0,0,0,0,0,0,39.84063745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu3886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.87804878,0,0,0
Zotu2964,0,0,0,0,105.2631579,9.900990099,0,0,0,0,0,0,0,0,0,0,0,0,0,34.48275862,0,0,0,0,0,4.545454545,0,0,0,0,0,0,0
Zotu1230,26.31578947,0,35.71428571,0,0,0,0,8.547008547,15.81027668,0,23.90438247,0,8,0,0,0,9.174311927,0,0,0,0,0,0,0,0,0,12.82051282,0,11.36363636,0,0,0,15.38461538
Zotu2902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154.4117647,0,0,0,0,0,0,0,0,0,9.090909091,0,0,0,0,0,0,0
Zotu1174,15.03759398,0,0,0,0,0,0,0,3.95256917,0,19.92031873,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu1953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,211.5384615,0,0,0,0,0,0
Zotu7459,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu1547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu4843,3.759398496,0,0,0,0,0,0,0,3.95256917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.347593583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu5704,11.27819549,0,0,0,0,0,0,0,3.95256917,0,3.984063745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu1586,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu2235,3.759398496,0,0,0,0,0,0,0,0,0,7.96812749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.36363636,0,0,0,0
Zotu814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,551.2820513,0,0,0,0,0,0
Zotu1524,22.55639098,0,35.71428571,9.661835749,0,0,0,0,3.95256917,0,7.96812749,0,4,0,0,0,0,7.936507937,0,0,0,0,0,0,0,0,0,0,11.36363636,0,0,0,15.38461538
Zotu499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu3375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.936507937,0,0,0,0,0,0,0,0,12.82051282,0,0,4.87804878,0,0,0
Zotu1229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,829.787234,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu1444,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,15.87301587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu3326,0,0,0,0,26.31578947,0,0,0,0,0,0,0,0,12.5,0,7.352941176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu967,0,0,0,0,0,0,0,34.18803419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu1989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu2262,0,0,0,0,0,0,21.73913043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu7855,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu5969,3.759398496,0,0,0,0,0,0,8.547008547,0,8.547008547,0,8.620689655,0,0,0,0,0,0,0,0,0,0,0,0,0,4.545454545,0,0,0,9.756097561,0,0,0
Zotu5755,3.759398496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.756097561,0,0,0
Zotu7898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.545454545,0,0,0,0,0,0,0
Zotu5003,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu3064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121.7948718,0,0,0,0,0,0
Zotu2307,0,0,17.85714286,0,0,0,0,8.547008547,7.90513834,0,0,0,0,0,0,0,0,7.936507937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu2103,0,0,0,0,0,0,0,0,3.95256917,0,3.984063745,0,20,12.5,37.43315508,0,9.174311927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu3213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu2106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,0,0,0,0,0,0,0
Zotu5774,0,0,0,0,0,0,0,0,0,0,7.96812749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu2564,3.759398496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu1060,33.83458647,0,0,9.661835749,0,0,0,8.547008547,7.90513834,0,15.93625498,0,16,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.76923077
Zotu631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.63636364,833.3333333,0,0,0,0,0,0
Zotu698,0,0,0,0,0,0,0,0,403.1620553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu3078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu3864,0,0,0,0,0,9.900990099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu796,15.03759398,0,0,0,0,0,0,0,0,8.547008547,27.88844622,0,32,162.5,0,0,0,0,659.5744681,0,0,0,0,0,0,0,0,0,0,0,0,292.6829268,0
Zotu4061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu8354,0,0,17.85714286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu2741,3.759398496,0,0,14.49275362,0,0,0,0,3.95256917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.36363636,0,0,0,0
Zotu4985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68.18181818,0,0,0,0,0,0,0
Zotu1203,0,0,0,0,0,0,0,0,7.90513834,0,11.95219124,0,16,0,37.43315508,0,9.174311927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu5207,3.759398496,0,0,0,0,0,0,8.547008547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu1418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.05882353,0,0,0,0,0,0,0,0,56.17977528,0,6.41025641,0,0,53.65853659,0,0,0
Zotu3708,0,0,0,9.661835749,0,0,0,0,0,0,3.984063745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.36363636,0,0,0,0
Zotu5661,0,0,0,4.830917874,0,0,0,0,0,8.547008547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.756097561,0,0,0
Zotu792,3.759398496,0,0,0,0,0,0,0,0,25.64102564,31.87250996,0,16,150,0,0,0,0,382.9787234,0,0,0,0,0,0,0,0,0,0,0,0,439.0243902,0
Zotu1286,15.03759398,0,17.85714286,4.830917874,0,0,0,0,15.81027668,0,11.95219124,0,0,0,0,0,0,0,0,0,0,27.02702703,0,0,11.23595506,0,0,0,0,0,0,0,0
Zotu2831,0,0,0,0,0,29.7029703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.45454545,0,0,0,0,0,0,0
Zotu9028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu1429,0,0,0,0,0,0,0,17.09401709,3.95256917,8.547008547,0,17.24137931,0,12.5,0,7.352941176,0,7.936507937,0,0,0,0,20,0,0,0,0,0,0,19.51219512,100,0,0
Zotu6128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.87804878,0,0,0
Zotu8079,0,0,0,0,0,0,0,0,0,0,3.984063745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu3420,0,0,0,0,0,0,0,17.09401709,3.95256917,0,0,0,0,0,0,22.05882353,0,0,0,0,0,0,0,0,0,0,0,0,11.36363636,9.756097561,0,0,0
Zotu1580,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu7661,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu3825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77.27272727,0,0,0,0,0,0,0
Zotu1930,15.03759398,0,0,4.830917874,0,0,0,8.547008547,3.95256917,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu6988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.3902439,0
