,10A Pocillopora damicornis,11A Pocillopora damicornis,12A Pocillopora damicornis,13 Acropora sp,14 Acropora sp,18 Porites sp,23 Acropora sp,24A Acropora sp,26 Acropora sp,28 Acropora sp,29 Acropora sp,2A Pocillopora damicornis,30A Montipora sp,31A Porites sp,32A Porites sp,33A Montipora sp,34A Montipora sp,35A Montipora sp,36A Montipora sp,3A Pocillopora damicornis,42A Porites sp,43A Pocillopora damicornis,46A Porites sp,47A Porites sp,47B Porites sp,48A Acropora sp,49A Acropora sp,4A Pocillopora damicornis,50A Acropora sp,6A Pocillopora damicornis,7A Porites sp,8A Montipora sp,9AMontipora sp
Zotu64,0,0,0,1285.024155,0,0,108.6956522,0,545.4545455,572.6495726,944.2231076,0,108,0,0,0,0,3912.698413,0,3793.103448,0,0,0,0,0,100,0,0,34.09090909,0,0,0,30.76923077
Zotu1130,0,0,0,0,0,0,0,8.547008547,0,0,0,0,0,0,5.347593583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu852,0,0,0,0,0,0,0,0,0,0,0,0,0,1337.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu105,41.35338346,0,0,0,0,0,0,0,0,282.0512821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.23595506,45.45454545,0,0,0,0,0,0,0
Zotu189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu46,0,0,0,0,26.31578947,0,0,0,0,341.8803419,0,0,0,0,0,154.4117647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu579,0,0,0,0,0,0,0,0,0,0,0,0,268,0,0,0,27.52293578,238.0952381,0,0,0,0,0,0,0,0,0,83.33333333,0,0,0,0,0
Zotu80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42080,0,0,0,0,0,0,0,0,0,0
Zotu54,0,0,0,0,0,0,0,0,762.8458498,0,59.76095618,0,0,0,4743.315508,404.4117647,0,0,0,275.862069,1928.571429,0,0,0,0,422.7272727,782.0512821,0,0,0,0,0,0
Zotu207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76500,0,0
Zotu119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4636.363636,0,0,0,0
Zotu9198,67.66917293,0,0,38.647343,0,9.900990099,0,42.73504274,39.5256917,17.09401709,35.85657371,0,32,12.5,0,0,45.87155963,0,0,0,0,189.1891892,0,0,0,0,0,0,11.36363636,0,0,0,0
Zotu5831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
