,1 Acropora sp,10B Pocillopora damicornis,11B Pocillopora damicornis,12B Pocillopora damicornis,16 Acropora sp,17 Montipora sp,20 Montipora sp,21 Acropora sp,22 Acropora sp,25A Porites sp,27 Acropora sp,2B Pocillopora damicornis,30B Montipora sp,31B Porites sp,32B Porites sp,33B Montipora sp,34B Montipora sp,35B Montipora sp,36B Montipora sp,3B Pocillopora sp,42B Montipora sp,42C Montipora sp,43B Pocillopora damicornis,45 Porites sp,46B Porites sp,48B Acropora sp,49B Acropora sp,5 Acropora sp,50B Acropora sp,6B Pocillopora damicornis,'7B Porites sp.',8B Montipora sp,9B Montipora sp
Zotu33,2.103786816,276.7277449,45.04689277,196.6250372,0,0,0,0,0,0,0,359.6951262,0,0,1.142421935,0,0,0,0,42.25220161,0,0,113.5749483,0,0,0,0,0.422059651,0,43.78903289,5.93276203,15.03759398,28.20685024
Zotu41,3.50631136,0,0.037290474,0,0.172146669,0.909587047,0.245428887,0,0,0,0,0,0,0,0,0,0,0,0,0.046842796,0,0,0,0,0,0.235444486,0.403697873,0.14068655,0.105209367,0,0,0,0
Zotu11,20030.85554,174.2413312,87.74448567,161.6859946,264.8992942,101.5099145,198.7973985,963.5747138,961.0212434,0.99009901,954.7987616,169.6384868,1.869158879,3.702560938,0.761614623,0.098313916,0,0,0.603864734,84.22334645,2.247191011,0.085128118,180.0190749,0,0,0.134539706,0,3207.090602,0,59.34803798,4.614370468,6.578947368,20.14775017
Zotu106,0,0,0,0,0,0,0,0,0,125.2475248,0,0,0,110.4597346,150.418888,0,0.063195147,0,0,0,0,0,0,50.37513398,90.51276728,0,0,0,0,0,61.96440343,0,0
Zotu27,4.207573633,95.22435435,135.196614,248.1787095,0.034429334,0,0,0,0,0,0,89.78393119,0,0,0,0,0,0,0,199.9250515,0,0,207.9955492,0,0,0,0.040369787,0,0,174.8312335,13.8431114,10.33834586,10.74546676
Zotu23,11.92145863,318.1359111,136.7628139,262.1171573,0,0,0.36814333,0.067143385,0,0,0,529.1937627,0,0,0,0,0,0,0,177.2999813,0,0,275.7908123,0,0,0,0,0.562746201,0,171.0407567,21.094265,38.53383459,42.98186702
Zotu1747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.359533992,2.654196158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu86,0,0,0,0.111507583,2.341194698,0,0,0,0,0,0,1.118802881,0,0,0,0,0,0,0,2.623196552,0,0,0.874264823,0,0,1.244492281,0.88813532,0.984805853,0.661316019,0,0,0,0
Zotu1596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.015435285,2.338220425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu40,0,95.36863367,23.30654634,102.1037764,0,0,0,0.033571692,0,0,0,128.1029299,0,0,0,0,0,0,0,28.19936294,0,0,70.41805754,0,0,0,0,0,0,26.78603661,0,6.578947368,12.0886501
