,10A Pocillopora damicornis,11A Pocillopora damicornis,12A Pocillopora damicornis,13 Acropora sp,14 Acropora sp,18 Porites sp,23 Acropora sp,24A Acropora sp,26 Acropora sp,28 Acropora sp,29 Acropora sp,2A Pocillopora damicornis,30A Montipora sp,31A Porites sp,32A Porites sp,33A Montipora sp,34A Montipora sp,35A Montipora sp,36A Montipora sp,3A Pocillopora damicornis,42A Porites sp,43A Pocillopora damicornis,46A Porites sp,47B Porites sp,48A Acropora sp,49A Acropora sp,4A Pocillopora damicornis,50A Acropora sp,6A Pocillopora damicornis,7A Porites sp,8A Montipora sp,9AMontipora sp
Zotu55,0,0,0,0,0,178.2178218,0,0,14316.32653,4206.896552,31500,0,41.09589041,452.8301887,28.57142857,16.66666667,0,9.153318078,183.6734694,0,1257.142857,0,116.2790698,1333.333333,9.433962264,12.90322581,0,13.88888889,12.04819277,0,16.94915254,9.868421053
Zotu102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.716981132,0,0,0,24.09638554,0,0,55.92105263
Zotu352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu62,239.1304348,658.5365854,9200,197.1830986,4142.857143,59.40594059,413.7931034,551.7241379,336.7346939,448.2758621,1055.555556,377.7777778,547.9452055,75.47169811,3714.285714,483.3333333,564.3564356,727.6887872,632.6530612,384.6153846,57.14285714,363.6363636,58.13953488,625,179.245283,187.0967742,2513.513514,597.2222222,228.9156627,261.9047619,694.9152542,148.0263158
Zotu848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.716981132,0,0,0,0,0,0,0
Zotu1629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.40816327,0,0,0,0,0,0,0,0,0,0,0,0,9.868421053
Zotu205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu215,0,0,0,0,0,0,0,0,0,0,0,0,13.69863014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.94915254,0
Zotu614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu645,0,0,0,0,0,0,0,0,0,0,0,0,13.69863014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.40816327,0,0,0,0,0,0,0,0,13.88888889,0,0,0,0
Zotu115,152.173913,487.804878,6120,84.50704225,1031.746032,19.8019802,264.3678161,258.6206897,122.4489796,189.6551724,305.5555556,111.1111111,150.6849315,25.1572327,2000,133.3333333,207.9207921,340.9610984,632.6530612,256.4102564,114.2857143,409.0909091,69.76744186,83.33333333,301.8867925,277.4193548,1540.540541,430.5555556,132.5301205,333.3333333,186.440678,72.36842105
Zotu173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.716981132,0,0,0,0,0,0,0
Zotu3183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81.63265306,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu72,260.8695652,756.097561,6000,197.1830986,2047.619048,49.5049505,333.3333333,172.4137931,183.6734694,155.1724138,583.3333333,466.6666667,520.5479452,31.44654088,6400,300,336.6336634,503.4324943,530.6122449,692.3076923,0,363.6363636,46.51162791,41.66666667,75.47169811,77.41935484,2324.324324,402.7777778,240.9638554,285.7142857,661.0169492,131.5789474
Zotu613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.716981132,0,0,0,0,0,0,0
Zotu523,0,0,0,0,0,9.900990099,0,0,0,17.24137931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu1715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu334,0,24.3902439,0,0,0,9.900990099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.45454545,11.62790698,0,9.433962264,0,0,0,0,0,0,0
Zotu425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu1725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu250,43.47826087,463.4146341,0,84.50704225,63.49206349,19.8019802,609.1954023,34.48275862,234.6938776,0,55.55555556,133.3333333,260.2739726,6.289308176,0,33.33333333,29.7029703,29.74828375,285.7142857,51.28205128,57.14285714,136.3636364,46.51162791,0,47.16981132,19.35483871,0,125,60.24096386,0,33.89830508,82.23684211
Zotu42,0,0,0,0,0,59.40594059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.578947368
Zotu547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.868421053
Zotu5158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4700.657895
Zotu1187,0,0,0,0,0,0,0,0,20.40816327,0,0,0,0,12.57861635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu618,21.73913043,48.7804878,0,0,0,19.8019802,22.98850575,17.24137931,81.63265306,17.24137931,0,0,0,0,57.14285714,0,0,9.153318078,0,25.64102564,0,45.45454545,0,0,4.716981132,0,0,27.77777778,60.24096386,0,0,0
Zotu252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.900990099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.289473684
Zotu39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.64102564,0,0,0,0,0,6.451612903,0,0,0,0,0,0
Zotu36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,0,0,0,0,13.88888889,0,0,0,0
Zotu164,0,0,0,0,0,0,0,0,0,0,0,0,0,18.86792453,0,0,0,0,0,0,0,0,11.62790698,0,23.58490566,0,0,0,0,0,0,0
Zotu2632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu2414,43.47826087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.868421053
Zotu41,0,0,0,14.08450704,0,0,0,0,0,0,0,0,13.69863014,0,0,16.66666667,9.900990099,0,0,25.64102564,0,0,0,0,4.716981132,0,0,0,0,0,0,0
Zotu515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.45454545,0,0,0,0,0,0,0,0,0,0
Zotu130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.66666667,0,0,0,0,0,0,0,0
Zotu1079,0,0,0,0,0,0,0,0,0,0,0,0,0,6.289308176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu82,0,0,0,0,0,99.00990099,0,0,0,0,0,0,0,6.289308176,0,0,0,0,0,0,0,0,0,0,4.716981132,0,0,0,0,0,0,16.44736842
Zotu280,0,0,0,0,0,0,0,0,0,0,0,0,0,12.57861635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.15789474
Zotu134,65.2173913,390.2439024,6680,98.5915493,682.5396825,0,57.47126437,137.9310345,81.63265306,241.3793103,277.7777778,466.6666667,232.8767123,25.1572327,885.7142857,116.6666667,277.2277228,267.7345538,224.4897959,205.1282051,28.57142857,409.0909091,23.25581395,166.6666667,75.47169811,103.2258065,972.972973,236.1111111,60.24096386,142.8571429,186.440678,62.5
Zotu400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.868421053
Zotu95,0,0,0,0,0,0,3873.563218,34.48275862,30.6122449,6741.37931,12833.33333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83.87096774,0,3361.111111,0,0,0,0
Zotu3353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu6465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu285,0,0,0,0,0,0,0,0,0,0,0,0,0,6.289308176,0,0,0,0,0,0,0,0,11.62790698,0,0,0,0,0,0,0,0,0
Zotu177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.62790698,0,4.716981132,6.451612903,0,0,0,0,0,3.289473684
Zotu3358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.868421053
Zotu307,43.47826087,0,0,0,0,0,0,0,71.42857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.75471698,0,0,0,0,0,0,65.78947368
Zotu2633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu6424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.433962264,38.70967742,0,0,0,0,0,0
Zotu210,0,0,0,0,0,0,0,0,0,0,0,0,0,12.57861635,0,0,0,0,0,0,0,0,0,0,0,0,0,13.88888889,0,0,0,0
Zotu490,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.716981132,0,0,0,0,0,0,0
Zotu4736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu1753,0,0,0,0,0,0,0,0,0,0,0,0,0,6.289308176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu1842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu1812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.451612903,0,0,0,0,0,0
Zotu592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.6039604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu3593,0,0,0,0,15.87301587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu2058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.60526316
Zotu1189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.89830508,0
Zotu4971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu1156,0,0,0,0,0,0,0,0,0,0,0,0,0,6.289308176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu1197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.451612903,0,0,0,0,0,0
Zotu59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.62790698,0,4.716981132,0,0,0,0,0,0,0
Zotu5259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.451612903,0,0,0,0,0,0
Zotu127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.451612903,0,0,0,0,0,0
Zotu50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu89,239.1304348,487.804878,11480,183.0985915,1666.666667,49.5049505,287.3563218,413.7931034,346.9387755,293.1034483,638.8888889,288.8888889,643.8356164,94.33962264,3914.285714,266.6666667,316.8316832,544.6224256,428.5714286,282.0512821,28.57142857,500,46.51162791,125,165.0943396,251.6129032,1432.432432,222.2222222,192.7710843,309.5238095,508.4745763,62.5
Zotu571,0,0,0,0,0,0,0,0,0,0,0,0,54.79452055,0,0,0,0,0,0,0,0,0,11.62790698,0,9.433962264,58.06451613,0,138.8888889,0,71.42857143,0,0
Zotu253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.62790698,0,0,0,0,0,0,0,0,0
Zotu279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu7137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.94915254,0
Zotu91,0,0,0,0,0,0,0,4051.724138,0,637.9310345,83.33333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.16129032,0,27.77777778,0,0,0,0
Zotu97,0,0,0,0,0,0,0,0,0,0,0,0,2589.041096,0,0,2166.666667,39.6039604,0,0,0,0,0,0,0,0,0,0,0,12.04819277,0,1728.813559,2167.763158
Zotu6256,0,0,0,0,0,9.900990099,0,0,0,0,0,0,0,0,0,0,9.900990099,2.288329519,0,0,0,0,23.25581395,0,14.1509434,12.90322581,0,0,0,0,0,0
Zotu121,0,0,0,0,47.61904762,0,22.98850575,17.24137931,0,0,0,0,0,0,0,0,0,4.576659039,0,0,0,0,34430.23256,0,0,0,0,0,0,0,0,0
Zotu3075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.62790698,0,0,0,0,0,0,0,0,0
