,1 Acropora sp,10B Pocillopora damicornis,11B Pocillopora damicornis,12B Pocillopora damicornis,16 Acropora sp,17 Montipora sp,20 Montipora sp,21 Acropora sp,22 Acropora sp,25A Porites sp,27 Acropora sp,2B Pocillopora damicornis,30B Montipora sp,31B Porites sp,32B Porites sp,33B Montipora sp,34B Montipora sp,35B Montipora sp,36B Montipora sp,3B Pocillopora sp,42B Montipora sp,42C Montipora sp,43B Pocillopora damicornis,45 Porites sp,46B Porites sp,48B Acropora sp,5 Acropora sp,50B Acropora sp,6B Pocillopora damicornis,'7B Porites sp.',8B Montipora sp,9B Montipora sp
Zotu1130,17.85714286,0,0,0,0,0,0,0,0,0,0,14.49275362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu105,0,0,0,0,0,0,0,0,0,14.92537313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.61904762,0
Zotu189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17761.90476,0
Zotu46,0,0,0,0,0,0,26245.76271,2484.848485,8.333333333,134.3283582,561.6438356,0,76.19047619,0,0,0,0,0,0,7.8125,26.31578947,0,1890.804598,0,0,0,388.8888889,0,0,0,47.61904762,0
Zotu579,0,0,0,0,0,0,0,0,0,22.3880597,0,0,0,0,0,0,13.15789474,0,0,7.8125,0,0,0,2715.63981,0,0,0,0,0,0,0,45.71428571
Zotu80,0,0,0,0,0,0,0,0,8.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,473.9336493,0,0,0,0,0,8.196721311,0,0
Zotu54,0,0,0,0,0,0,33.89830508,404.040404,0,179.1044776,287.6712329,0,171.4285714,0,0,0,0,0,0,0,0,0,0,0,7486.486486,3238.866397,0,0,0,0,0,645.7142857
Zotu207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu119,0,0,0,0,0,0,381.3559322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
