	Kingdom	Phylum	Class	Order	Family	Genus	Species	Isolate	Isolate_percent_id
Zotu100	Bacteria	Actinobacteriota	Acidimicrobiia	Microtrichales	Microtrichaceae				0
Zotu1000	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Hyphomonadaceae				0
Zotu10000	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Verrucomicrobiales	Verrucomicrobiales Dev007				0
Zotu10002	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae				0
Zotu10003	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Opitutales	Puniceicoccaceae	Lentimonas			0
Zotu10004	Bacteria	Bdellovibrionota	Bdellovibrionia	Bacteriovoracales	Bacteriovoracaceae	Peredibacter			0
Zotu10006	Bacteria	Myxococcota	Polyangia	Nannocystales	Nannocystaceae				0
Zotu10007	Bacteria	Acidobacteriota	Thermoanaerobaculia	Thermoanaerobaculales	Thermoanaerobaculaceae	Thermoanaerobaculaceae Subgroup0			0
Zotu10008	Bacteria	Proteobacteria	Gammaproteobacteria	Cellvibrionales	Porticoccaceae	Porticoccaceae C1-b045			0
Zotu10009	Bacteria	Cyanobacteria	Cyanobacteriia	Phormidesmiales	Phormidesmiaceae	Acrophormium_pcc-7375			0
Zotu1001	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae				0
Zotu10010	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales					0
Zotu10011	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Crocinitomicaceae	Fluviicola			0
Zotu10012	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Saprospiraceae				0
Zotu10013	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Cyclobacteriaceae	Reichenbachiella			0
Zotu10014	Bacteria	Planctomycetota	Planctomycetota vadinHA49						0
Zotu10015	Bacteria	Acidobacteriota	Thermoanaerobaculia	Thermoanaerobaculales	Thermoanaerobaculaceae	Thermoanaerobaculaceae Subgroup0			0
Zotu10016	Bacteria	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria Om182_clade					0
Zotu10017	Bacteria	Cyanobacteria	Cyanobacteriia	Phormidesmiales	Nodosilineaceae	Nodosilineaceae Mbic10086			0
Zotu10018	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Saprospiraceae				0
Zotu10019	Bacteria	Acidobacteriota	Acidobacteriota Subgroup_22						0
Zotu1002	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Opitutales	Puniceicoccaceae	Coraliomargarita			0
Zotu10020	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Marinilabiliaceae	Labilibacter			0
Zotu10021	Bacteria	Bdellovibrionota	Bdellovibrionia	Bdellovibrionales	Bdellovibrionaceae	Bdellovibrionaceae Om27_clade			0
Zotu10022	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Rhodopirellula			0
Zotu10023	Bacteria	Cyanobacteria	Cyanobacteriia	Phormidesmiales	Nodosilineaceae	Nodosilineaceae Mbic10086			0
Zotu10024	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Alteromonadaceae				0
Zotu10025	Bacteria	Proteobacteria	Alphaproteobacteria						0
Zotu10026	Bacteria	Bdellovibrionota	Bdellovibrionia	Bacteriovoracales	Bacteriovoracaceae	Halobacteriovorax			0
Zotu10027	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Saprospiraceae	Lewinella			0
Zotu10028	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae				0
Zotu10029	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Cyclobacteriaceae				0
Zotu1003	Bacteria	Proteobacteria	Gammaproteobacteria						0
Zotu10031	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Microbacteriaceae	Microbacterium			0
Zotu10033	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae				0
Zotu10034	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Opitutales	Puniceicoccaceae	Cerasicoccus			0
Zotu10035	Bacteria	Proteobacteria	Gammaproteobacteria	Cellvibrionales	Halieaceae	Halioglobus			0
Zotu10036	Bacteria	Bdellovibrionota	Bdellovibrionia	Bdellovibrionales	Bdellovibrionaceae	Bdellovibrio			0
Zotu10037	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Luteimonas			0
Zotu10038	Bacteria	Proteobacteria	Gammaproteobacteria						0
Zotu10039	Bacteria	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria_incertae_sedis	Gammaproteobacteria Unknown_family				0
Zotu10040	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Flammeovirgaceae				0
Zotu10041	Bacteria	Planctomycetota	Planctomycetota Om190						0
Zotu10042	Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella			0
Zotu10043	Bacteria	Proteobacteria	Alphaproteobacteria	Thalassobaculales					0
Zotu10044	Bacteria	Gemmatimonadota	Gemmatimonadota Bd2-11_terrestrial_group						0
Zotu10045	Bacteria	Proteobacteria	Gammaproteobacteria						0
Zotu10046	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales					0
Zotu10047	Bacteria	Planctomycetota	Planctomycetota Om190						0
Zotu10048	Bacteria	Bacteroidota	Bacteroidia						0
Zotu10049	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Amoebophilaceae	Candidatus_amoebophilus			0
Zotu10051	Bacteria	Proteobacteria	Alphaproteobacteria						0
Zotu10052	Bacteria	Proteobacteria	Alphaproteobacteria						0
Zotu10053	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Saprospiraceae	Phaeodactylibacter			0
Zotu10054	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae				0
Zotu10055	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Rhodopirellula			0
Zotu10056	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-tissierellales	Peptostreptococcaceae	Romboutsia			0
Zotu10057	Bacteria								0
Zotu10058	Bacteria	Actinobacteriota	Acidimicrobiia	Microtrichales	Microtrichaceae	Microtrichaceae Sva0996_marine_group			0
Zotu10059	Bacteria	Planctomycetota	Planctomycetes	Planctomycetales	Gimesiaceae				0
Zotu1006	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Verrucomicrobiales	Rubritaleaceae	Rubritalea			0
Zotu10060	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Tenacibaculum			0
Zotu10061	Bacteria	Proteobacteria	Gammaproteobacteria	Cellvibrionales	Cellvibrionaceae				0
Zotu10062	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae				0
Zotu10063	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales					0
Zotu10064	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae				0
Zotu10065	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae				0
Zotu10066	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae				0
Zotu10067	Bacteria	Actinobacteriota	Thermoleophilia	Gaiellales	Gaiellaceae	Gaiella			0
Zotu10068	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Alteromonadaceae				0
Zotu10069	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae				0
Zotu1007	Bacteria	Proteobacteria	Gammaproteobacteria	Granulosicoccales	Granulosicoccaceae	Granulosicoccus			0
Zotu10070	Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Photobacterium			0
Zotu10071	Bacteria	Bacteroidota	Bacteroidia						0
Zotu10072	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Psychrobacter			0
Zotu10073	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Blastopirellula			0
Zotu10074	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Rhodopirellula			0
Zotu10075	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Saprospiraceae				0
Zotu10076	Bacteria	Chloroflexi	Anaerolineae	Ardenticatenales					0
Zotu10077	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Amoebophilaceae				0
Zotu10078	Bacteria	Planctomycetota	Planctomycetes	Planctomycetales	Rubinisphaeraceae	Fuerstia			0
Zotu10079	Bacteria	Acidobacteriota	Acidobacteriota Subgroup_22						0
Zotu1008	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales					0
Zotu10080	Bacteria	Proteobacteria	Gammaproteobacteria						0
Zotu10081	Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Thaumasiovibrio			0
Zotu10082	Bacteria	Bacteroidota	Bacteroidia						0
Zotu10083	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Saprospiraceae				0
Zotu10084	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Saprospiraceae	Portibacter			0
Zotu10085	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Blastopirellula			0
Zotu10086	Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae				0
Zotu10087	Bacteria	Proteobacteria	Alphaproteobacteria	Micropepsales	Micropepsaceae				0
Zotu10088	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Alteromonadaceae				0
Zotu1009	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Stappiaceae				0
Zotu10090	Bacteria	Proteobacteria	Alphaproteobacteria						0
Zotu10091	Bacteria	Actinobacteriota	Actinobacteria	Frankiales	Sporichthyaceae				0
Zotu10092	Bacteria	Proteobacteria	Gammaproteobacteria						0
Zotu10094	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Blastopirellula			0
Zotu10095	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae				0
Zotu10096	Bacteria	Planctomycetota	Planctomycetota Om190						0
Zotu10097	Bacteria	Bdellovibrionota	Bdellovibrionia	Bacteriovoracales	Bacteriovoracaceae				0
Zotu10098	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Magnetospiraceae				0
Zotu10099	Bacteria	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria At-s2-61					0
Zotu101	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae				0
Zotu1010	Bacteria	Proteobacteria	Gammaproteobacteria	Steroidobacterales	Woeseiaceae	Woeseia			0
Zotu10100	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Verrucomicrobiales	Verrucomicrobiales Dev007				0
Zotu10101	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Brevundimonas			0
Zotu10102	Bacteria	Proteobacteria	Alphaproteobacteria	Kiloniellales	Kiloniellaceae				0
Zotu10103	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Cyclobacteriaceae				0
Zotu10104	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Crocinitomicaceae	Crocinitomix			0
Zotu10105	Bacteria	Proteobacteria	Alphaproteobacteria						0
Zotu10106	Bacteria	Acidobacteriota	Holophagae	Acanthopleuribacterales	Acanthopleuribacteraceae	Acanthopleuribacter			0
Zotu10107	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae				0
Zotu10108	Bacteria	Calditrichota	Calditrichia	Calditrichales	Calditrichaceae	Calorithrix			0
Zotu10109	Bacteria	Planctomycetota	Planctomycetota Vadinha51						0
Zotu1011	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Cyclobacteriaceae	Ekhidna			0
Zotu10111	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae				0
Zotu10112	Bacteria	Bacteroidota	Bacteroidia	Cytophagales					0
Zotu10113	Bacteria	Myxococcota	Myxococcia	Myxococcales	Myxococcaceae	Myxococcaceae P3ob-42			0
Zotu10114	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Alteromonadaceae				0
Zotu10115	Bacteria	Chloroflexi	Anaerolineae	Anaerolineae SBR1032	Anaerolineae SBR1031 A4b				0
Zotu10118	Bacteria	Proteobacteria	Gammaproteobacteria	Cellvibrionales	Cellvibrionaceae				0
Zotu10119	Bacteria	Myxococcota	Polyangia	Nannocystales	Nannocystaceae				0
Zotu1012	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Blastopirellula			0
Zotu10121	Bacteria	Bdellovibrionota	Bdellovibrionia	Bacteriovoracales	Bacteriovoracaceae				0
Zotu10122	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Pirellula			0
Zotu10123	Bacteria	Dadabacteria	Dadabacteriia	Dadabacteriales					0
Zotu10124	Bacteria	Planctomycetota	Planctomycetota Om190						0
Zotu10125	Bacteria	Planctomycetota	Planctomycetota vadinHA49						0
Zotu10126	Bacteria	Planctomycetota	Planctomycetota Pla3_lineage						0
Zotu10127	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriales NS9_marine_group				0
Zotu10128	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Xenococcaceae				0
Zotu10129	Bacteria	Nb1-j							0
Zotu10130	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Crocinitomicaceae	Crocinitomix			0
Zotu10131	Bacteria	Chloroflexi	Anaerolineae	Anaerolineae SBR1032	Anaerolineae SBR1031 A4b				0
Zotu10132	Bacteria	Planctomycetota	Planctomycetota Om190						0
Zotu10133	Bacteria	Planctomycetota	Phycisphaerae	Phycisphaerales	Phycisphaeraceae	Urania-1b-19_marine_sediment_group			0
Zotu10134	Bacteria								0
Zotu10135	Bacteria	Sumerlaeota	Sumerlaeia	Sumerlaeales	Sumerlaeaceae	Sumerlaea			0
Zotu10136	Bacteria	Proteobacteria	Gammaproteobacteria	Cellvibrionales	Cellvibrionaceae	Agaribacterium			0
Zotu10137	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Saprospiraceae				0
Zotu10138	Bacteria	Proteobacteria	Gammaproteobacteria	Nitrosococcales	Nitrosococcaceae				0
Zotu10139	Bacteria	Planctomycetota	Phycisphaerae	Tepidisphaerales	Tepidisphaerales Wd2101_soil_group				0
Zotu10141	Bacteria	Bacteroidota	Bacteroidia						0
Zotu10142	Bacteria	SAR324_clade(Marine_group_B)							0
Zotu10143	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-tissierellales	Anaerococcus				0
Zotu10144	Bacteria	Bdellovibrionota	Bdellovibrionia	Bacteriovoracales	Bacteriovoracaceae	Peredibacter			0
Zotu10145	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Pirellulaceae Pir4_lineage			0
Zotu10146	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Microcystaceae				0
Zotu10147	Bacteria	Planctomycetota	Planctomycetota						0
Zotu10148	Bacteria	Proteobacteria	Alphaproteobacteria	Micavibrionales	Micavibrionaceae				0
Zotu10149	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Opitutales	Puniceicoccaceae				0
Zotu1015	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae				0
Zotu10150	Bacteria	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria_incertae_sedis	Gammaproteobacteria Unknown_family				0
Zotu10151	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Saprospiraceae				0
Zotu10152	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-tissierellales	Anaerococcus				0
Zotu10153	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Blastopirellula			0
Zotu10154	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Verrucomicrobiales	Rubritaleaceae				0
Zotu10155	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae				0
Zotu10156	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Parvularculaceae	Parvularcula			0
Zotu10157	Bacteria	Desulfobacterota	Desulfuromonadia	Desulfuromonadia Pb19					0
Zotu10158	Bacteria	Planctomycetota	Planctomycetota Om190						0
Zotu1016	Bacteria	Chloroflexi	Anaerolineae	Ardenticatenales					0
Zotu10160	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Oxalobacteraceae				0
Zotu10161	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Saprospiraceae				0
Zotu10162	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Cyclobacteriaceae				0
Zotu10163	Bacteria	Chloroflexi	Anaerolineae	Ardenticatenales					0
Zotu10164	Bacteria	Verrucomicrobiota	Lentisphaeria	Lentisphaerales	Lentisphaeraceae	Lentisphaera			0
Zotu10165	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales	Chromatiaceae	Candidatus_thiobios			0
Zotu10166	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Blastopirellula			0
Zotu10167	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Micrococcaceae	Rothia			0
Zotu10168	Bacteria	Bacteroidota	Bacteroidia						0
Zotu10169	Bacteria	Proteobacteria	Gammaproteobacteria						0
Zotu10170	Bacteria	Bdellovibrionota	Oligoflexia	Oligoflexales					0
Zotu10171	Bacteria	Latescibacterota							0
Zotu10172	Bacteria	Bacteroidota	Bacteroidia						0
Zotu10173	Bacteria	Planctomycetota	Planctomycetota Vadinha49						0
Zotu10174	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Saprospiraceae	Lewinella			0
Zotu10175	Bacteria	Acidobacteriota	Vicinamibacteria	Vicinamibacterales	Vicinamibacteraceae				0
Zotu10176	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Saprospiraceae				0
Zotu10177	Bacteria	Nb1-j							0
Zotu10178	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Saprospiraceae	Aureispira			0
Zotu10179	Bacteria	Acidobacteriota	Thermoanaerobaculia	Thermoanaerobaculales	Thermoanaerobaculaceae	Thermoanaerobaculaceae Subgroup0			0
Zotu10180	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Rhodopirellula			0
Zotu10181	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Hyphomonadaceae	Hellea			0
Zotu10182	Bacteria	Bacteroidota	Bacteroidia						0
Zotu10183	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Verrucomicrobiales	Rubritaleaceae				0
Zotu10184	Bacteria	Proteobacteria	Gammaproteobacteria						0
Zotu10185	Bacteria	Verrucomicrobiota	Kiritimatiellae	Kiritimatiellales	Kiritimatiellaceae	Kiritimatiellaceae R76-b128			0
Zotu10186	Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae				0
Zotu10187	Bacteria	Actinobacteriota	Actinobacteria	Frankiales	Sporichthyaceae	Sporichthya			0
Zotu10188	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae				0
Zotu10189	Bacteria	Proteobacteria	Alphaproteobacteria	Micavibrionales					0
Zotu10190	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriales NS9_marine_group				0
Zotu10191	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Cyclobacteriaceae				0
Zotu10192	Bacteria	Proteobacteria	Gammaproteobacteria						0
Zotu10193	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Arachidicoccus			0
Zotu10194	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Saprospiraceae				0
Zotu10195	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Saprospiraceae	Lewinella			0
Zotu10196	Bacteria	Acidobacteriota	Vicinamibacteria	Vicinamibacteria Subgroup_9					0
Zotu10197	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae				0
Zotu10198	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	Acidovorax			0
Zotu10199	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Saprospiraceae	Lewinella			0
Zotu102	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae				0
Zotu1020	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Saprospiraceae	Lewinella			0
Zotu10200	Bacteria	Bdellovibrionota	Bdellovibrionia	Bacteriovoracales	Bacteriovoracaceae	Peredibacter			0
Zotu10201	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Alteromonadaceae				0
Zotu10202	Bacteria	Desulfobacterota	Desulfuromonadia	Bradymonadales					0
Zotu10203	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Verrucomicrobiales	Rubritaleaceae	Rubritalea			0
Zotu10204	Bacteria	Chloroflexi	Anaerolineae	Anaerolineae Sbr1031					0
Zotu10205	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae				0
Zotu10206	Bacteria	Acidobacteriota	Thermoanaerobaculia	Thermoanaerobaculales	Thermoanaerobaculaceae	Thermoanaerobaculaceae Subgroup0			0
Zotu10207	Bacteria	Planctomycetota	Phycisphaerae	Phycisphaerales	Phycisphaeraceae	Urania-1b-19_marine_sediment_group			0
Zotu10208	Bacteria	Desulfobacterota	Desulfuromonadia	Bradymonadales					0
Zotu10209	Bacteria	Proteobacteria	Alphaproteobacteria	Kiloniellales	Kiloniellaceae				0
Zotu1021	Bacteria	Chloroflexi	Anaerolineae	Ardenticatenales					0
Zotu10210	Bacteria	Proteobacteria	Gammaproteobacteria	Cellvibrionales	Spongiibacteraceae				0
Zotu10211	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Cyclobacteriaceae				0
Zotu10212	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Cyclobacteriaceae	Fulvivirga			0
Zotu10214	Bacteria	Planctomycetota	Planctomycetota BD7-11						0
Zotu10215	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae				0
Zotu10216	Bacteria	Proteobacteria	Alphaproteobacteria	Kordiimonadales	Kordiimonadaceae	Kordiimonas			0
Zotu10217	Bacteria	Fusobacteriota	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Psychrilyobacter			0
Zotu10218	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Verrucomicrobiales	Akkermansiaceae	Akkermansia			0
Zotu10219	Bacteria	Planctomycetota	Planctomycetota Om190						0
Zotu1022	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Desertifilaceae	Hormoscilla_si04-45			0
Zotu10220	Bacteria	Planctomycetota	Planctomycetota 028h05-p-bn-p5						0
Zotu10221	Bacteria	Actinobacteriota	Acidimicrobiia	Actinomarinales					0
Zotu10222	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Dokdonia			0
Zotu10223	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae				0
Zotu10224	Bacteria	Bacteroidota	Bacteroidia	Cytophagales					0
Zotu10225	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae				0
Zotu10226	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Cyclobacteriaceae	Ekhidna			0
Zotu10227	Bacteria	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	Faecalibacterium			0
Zotu10229	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Cyanobacteriaceae	Cyanobacterium_clg1			0
Zotu10230	Bacteria	Proteobacteria	Gammaproteobacteria						0
Zotu10231	Bacteria	Bacteroidota	Bacteroidia						0
Zotu10232	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae				0
Zotu10233	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Cyclobacteriaceae	Ekhidna			0
Zotu10234	Bacteria	Nb1-j							0
Zotu10236	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Saprospiraceae	Portibacter			0
Zotu10237	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Saprospiraceae				0
Zotu10238	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Wenyingzhuangia			0
Zotu10239	Bacteria	Planctomycetota	Phycisphaerae	Phycisphaerae Mle1-8					0
Zotu1024	Bacteria	Actinobacteriota	Acidimicrobiia	Microtrichales	Microtrichaceae				0
Zotu10240	Bacteria	Actinobacteriota	Acidimicrobiia	Microtrichales	Ilumatobacteraceae				0
Zotu10241	Bacteria	SAR324_clade(Marine_group_B)							0
Zotu10242	Bacteria	Proteobacteria	Alphaproteobacteria	Micavibrionales	Micavibrionaceae				0
Zotu10243	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Crocinitomicaceae	Crocinitomix			0
Zotu10244	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales					0
Zotu10245	Bacteria	Bacteroidota	Rhodothermia	Rhodothermales	Rhodothermaceae				0
Zotu10246	Bacteria	Proteobacteria	Alphaproteobacteria	Micropepsales	Micropepsaceae				0
Zotu10247	Bacteria								0
Zotu10248	Bacteria	Proteobacteria	Gammaproteobacteria	Coxiellales	Coxiellaceae	Coxiella			0
Zotu10249	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Amoebophilaceae				0
Zotu1025	Bacteria	Proteobacteria	Gammaproteobacteria						0
Zotu10251	Bacteria	Planctomycetota	Planctomycetota 028h05-p-bn-p5						0
Zotu10252	Bacteria	Planctomycetota	Planctomycetes	Planctomycetales	Rubinisphaeraceae	Rubinisphaeraceae Sh-pl14			0
Zotu10253	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Saprospiraceae				0
Zotu10254	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Hyphomonadaceae				0
Zotu10256	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Xenococcaceae	Pleurocapsa_pcc-7319			0
Zotu10257	Bacteria	Proteobacteria	Gammaproteobacteria						0
Zotu10258	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae				0
Zotu10259	Bacteria	Proteobacteria	Alphaproteobacteria	Kiloniellales	Kiloniellaceae	Tistlia			0
Zotu1026	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Xenococcaceae	Xenococcus_pcc-7305			0
Zotu10261	Bacteria	Bacteroidota	Bacteroidia						0
Zotu10262	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Saprospiraceae	Lewinella			0
Zotu10263	Bacteria	Actinobacteriota	Thermoleophilia	Gaiellales					0
Zotu10264	Bacteria	Proteobacteria	Gammaproteobacteria						0
Zotu10265	Bacteria	Wps-2							0
Zotu10266	Bacteria	Planctomycetota	Planctomycetota Om190						0
Zotu10268	Bacteria	Planctomycetota	Phycisphaerae	Phycisphaerales	Phycisphaeraceae	Phycisphaeraceae Sm1a02			0
Zotu10269	Bacteria	Proteobacteria	Gammaproteobacteria						0
Zotu10270	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Nitrincolaceae	Marinobacterium			0
Zotu10271	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Parvularculaceae	Parvularcula			0
Zotu10272	Bacteria	Planctomycetota	Planctomycetota OM190						0
Zotu10273	Bacteria	Myxococcota	Polyangia	Nannocystales	Nannocystaceae				0
Zotu10275	Bacteria	Proteobacteria	Alphaproteobacteria	Azospirillales	Azospirillaceae	Azospirillum			0
