	Kingdom	Phylum	Class	Order	Family	Genus	Species	Isolate	Isolate_percent_id
Zotu9471	Bacteria	Bacteroidota	Bacteroidia						0
Zotu9472	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Muricauda			0
Zotu9474	Bacteria	Actinobacteriota	Acidimicrobiia	Microtrichales	Ilumatobacteraceae				0
Zotu9475	Bacteria	Bdellovibrionota	Bdellovibrionia	Bdellovibrionales	Bdellovibrionaceae	Bdellovibrio			0
Zotu9476	Bacteria	Proteobacteria	Gammaproteobacteria	Cellvibrionales	Cellvibrionaceae				0
Zotu9477	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Saprospiraceae				0
Zotu9478	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Blastopirellula			0
Zotu9479	Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio			0
Zotu948	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Muricauda			0
Zotu9480	Bacteria	Proteobacteria	Alphaproteobacteria	Micavibrionales	Micavibrionaceae				0
Zotu9481	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Muricauda			0
Zotu9482	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae				0
Zotu9483	Bacteria	Bdellovibrionota	Bdellovibrionia	Bdellovibrionales	Bdellovibrionaceae	Bdellovibrio			0
Zotu9484	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Rhodopirellula			0
Zotu9485	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Cyanobacteriaceae	Cyanobacterium_clg1			0
Zotu9487	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Saprospiraceae				0
Zotu9488	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Stappiaceae				0
Zotu9489	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Amoebophilaceae				0
Zotu949	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Cyclobacteriaceae				0
Zotu9490	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Xenococcaceae				0
Zotu9491	Bacteria	Proteobacteria	Gammaproteobacteria						0
Zotu9493	Bacteria	Planctomycetota	Planctomycetes	Planctomycetales	Rubinisphaeraceae				0
Zotu9494	Bacteria	Planctomycetota	Planctomycetes	Planctomycetales					0
Zotu9495	Bacteria	Verrucomicrobiota	Lentisphaeria	Lentisphaerales	Lentisphaeraceae	Lentisphaera			0
Zotu9496	Bacteria	Acidobacteriota	Vicinamibacteria	Vicinamibacterales					0
Zotu9497	Bacteria	Cyanobacteria	Cyanobacteriia	Synechococcales	Synechococcales_incertae_sedis	Schizothrix_lege_07164			0
Zotu9498	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae				0
Zotu9499	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae				0
Zotu95	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Endozoicomonadaceae	Endozoicomonas			0
Zotu950	Bacteria	Actinobacteriota	Acidimicrobiia	Microtrichales	Microtrichaceae				0
Zotu9500	Bacteria	Proteobacteria	Gammaproteobacteria						0
Zotu9501	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Cyanobacteriaceae	Symphothece_pcc-7002			0
Zotu9502	Bacteria								0
Zotu9503	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales					0
Zotu9504	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Amoebophilaceae				0
Zotu9506	Bacteria	Proteobacteria	Alphaproteobacteria						0
Zotu9507	Bacteria	Planctomycetota	Planctomycetota						0
Zotu9508	Bacteria	Actinobacteriota	Acidimicrobiia	Microtrichales	Microtrichaceae	Microtrichaceae Sva0996_marine_group			0
Zotu9509	Bacteria	Proteobacteria	Gammaproteobacteria						0
Zotu951	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae				0
Zotu9510	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Blastopirellula			0
Zotu9511	Bacteria	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria_incertae_sedis	Gammaproteobacteria Unknown_family				0
Zotu9512	Bacteria	Bacteroidota	Bacteroidia						0
Zotu9514	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae				0
Zotu9516	Bacteria	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria Epr3968-o8a-bc82					0
Zotu9517	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prolixibacteraceae	Roseimarinus			0
