#OTU ID	C50B	G13	G33B	G18	G40A	C26	G46B	C64	G47A	G32B	C17	G38B	C42C	G25A	G8A	G36B	G1	G11A	C24B	C35B	C40B	C18	C48B	G8B	C36A	C58	C38B	C32B	NEGCON9	G19B	G59	G49B	C47A	G47B	G6B	POSCON1	C5A	G27	C39B	G34A	G50B	G65D	G37B	G65C	C19A	G15A	G41B	C7B	C11A	G20	G38A	C33A	G24A	G40B	C34B	C34A	G12A	G23	G30A	C9B	C2B	G28	C38A	G65B	G37A	C1	G49A	G17	C43A	G14	G31A	C14	C12A	C33B	G61	C25B	C45A	C21	G21	C42A	G42C	G29	G35B	C36B	C48A	G25B	C22	G33A	C31A	C42B	C10A	C8B	G63C	G9B	C6B	C49A	C23	G46A	C29	G4A	C20	C46B	G30B	G36A	G16	G9A	G19A	G35A	C50A	C40A	G42B	G12B	C16	C46A	C31B	G48B	C6A	C47B	G34B	C13	G39B	G64	G2B	C37A	C63B	C4A	G53	C41B	G42A	C12B	G7A	G11B	C37B	C9A	C8A	G3A	C62	C3B	C30A	G2A	G52	G39A	G24B	C49B	G62	C10B	G22	G32A	C25A	C43B	C51	POSCON2	G44	C15A	C27	C28	G7B	C11B	C41A	G43B	G10A	G31B	C65A	C19B	C59	G51	G48A	G45	G3B	C7A	C2A	C30B	C39A	G10B	C24A	G6A	C63C	G65A	G26	G43A	C55	C32A	C53	G41A	G50A	C63A	C54	G54	C52	C35A	C3A	G5A	C57	CTRL1	G57	C61	G58	C65C	C65B	C60	G63A	NEGCON10	G63B	NEGCON7	NEGCON5	NEGCON3	NEGCON1	G60	NEGCON2	G55	NEGCON	C65D	NEGCON6	NEGCON4
Zotu7	3	14	1	1	1	0	0	0	0	1	0	19	1	1	3	0	117	34288	0	0	56	1	2	0	0	0	20	2	1	148	486	1	0	0	0	2	456	0	0	0	0	2	0	1	230	25	68	10	17381	0	1799	0	3	0	1	4	32812	3	0	8	1020	1	1427	0	22	112	1	0	22135	4	0	1	19312	1	0	0	1	0	0	5	1	3	1	0	3	1	1	0	1	1	20767	0	0	0	2	1	0	3	2	42154	1	1	0	0	1	26	262	0	3	2	6	59	4	1	0	1	33375	0	0	0	93	0	1816	12	0	27777	0	20	1	15	0	60	0	12	8	19874	2	3731	0	64314	0	44	0	3	0	22	0	0	0	570	0	0	0	17	0	0	5	37	4	389	21185	2	0	239	28	1	1	0	4058	3	23372	2	52	67	1	20541	0	0	22	9444	0	1	19	1	0	1	265	0	2	0	10313	15	2	0	2	0	355	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0
Zotu9	0	0	0	0	754	1	0	250	0	0	0	0	0	1	0	0	1	0	0	0	114747	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	0	269	63330	0	1	1	77379	0	0	0	0	0	0	0	0	0	0	140	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	35814	0	0	0	0	0	0	0	0	0	1	0	1	2775	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	2	0	1	1	0	0	0	0	102	0	0	0	1	0	4	0	0	0	1	0	0	0	29	0	2	0	0	2	0	0	0	0	0	0	0	0	0	49	0	0	0	1	10	0	0	0	55	0	88	1	0	55	0	0	0	0	0	0	0	0	0	0	0	0	57	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
Zotu38	0	0	0	0	0	0	0	581	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10736	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	141	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu3683	0	0	0	39	0	1	23	0	0	49	7	0	1	44	0	1	0	0	0	1	1	58	0	1	0	0	0	46	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	16	0	3	0	1	0	0	0	9	0	0	0	2	0	0	0	0	0	0	0	5	0	0	2	0	0	1	0	12	30	0	0	2	1	0	2	5	0	24	0	0	5	0	0	0	0	0	0	0	0	10	0	0	6	47	6	0	0	4	0	0	0	0	0	0	0	21	23	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	151	0	0	7	0	0	0	0	0	0	1	0	1	1	0	0	0	16	29	0	0	0	4	0	0	0	7	0	0	0	0	33	0	0	1	0	0	25	0	177	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu8	0	3089	0	1	0	2	1	1	0	0	746	1	1	0	0	0	305	60	8	1	0	2	0	2	0	3	3	0	1	25622	6	0	0	1	0	0	0	6	8	1	1	2	0	2	48285	27461	0	0	59	0	0	2	0	0	0	80	9	3	11	3	0	3	3	0	0	100	0	393	0	27	0	27	10	0	1	0	1	2	3	0	0	5	2	0	2	18	0	1	0	1	5	3	0	763	0	0	0	0	45	0	13	0	1	1	3	38	35572	0	2	3	0	2	4	0	0	0	0	0	9	757	5	0	1	0	0	0	5	1	2	4	1	5	1	30	2	2	0	0	0	0	1	44	8	10	1	3	19	0	0	1	1	0	0	41200	3	35	0	2	23	0	10	1	0	41589	1	0	7	0	12	0	0	0	38	10	0	0	0	0	68	0	0	0	6	0	0	2	19	0	0	0	0	11	1	20	0	110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1537	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu12	44531	0	0	0	65	0	0	0	0	0	0	1	1	0	1	1	0	0	9	1	1	1	19582	0	1	0	1	1	12114	0	16	8807	0	1	1	1	0	0	2	1	21508	11939	0	11	0	1	2	1	0	0	582	0	0	0	1	53	0	0	0	3	0	1	615	1	3	0	804	0	0	1	0	1	10	0	3	0	0	0	1	1	0	1	1	2	9	0	2	0	4	1	1	1	0	0	0	5081	22	0	0	1	1	0	2	0	1	0	1	2	59	31	0	0	0	0	1	5599	0	4	0	0	0	0	1	5	1	2	0	7	1	0	1	3	3	0	0	0	0	0	0	2	0	83	0	14893	0	0	1	1	2	0	0	2	0	1	0	0	0	1	51446	0	0	0	0	0	0	3	2	0	2	1	0	0	447	1	5	1	327	0	1	0	0	0	0	20621	0	0	193	0	1	0	3	0	90	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0
Zotu14	1	1	0	0	0	8	73	0	141	0	2	0	0	0	0	0	0	0	3	0	8	1	1	0	0	4	0	0	0	0	3	0	141	39306	0	1	1	5	1	0	0	0	5	1	0	0	2	0	0	0	0	0	2	1	0	0	1	0	0	1	0	0	0	1	0	1	0	0	0	0	19836	6	4	0	8	0	35	0	0	1	0	1	0	1	1	0	0	0	25211	0	1	0	0	0	1	1	0	2	1	0	5	74	1055	0	0	0	0	0	0	0	0	1	0	1	0	1	1	36951	0	0	0	23	1	0	0	0	0	0	2	0	1	1	0	0	0	0	4	0	0	0	1	1	0	3	10	0	0	0	0	0	4	0	21217	0	0	3	0	1	0	0	0	1	0	2	5	2	0	79	0	0	0	5	0	0	1	0	0	0	7	0	0	0	0	0	4	0	1	0	0	0	1	0	6	0	2	2	1	1	0	0	0	0	0	317	0	0	0	0	0	0	0	0	0	0
Zotu689	1	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	30	0	36	0	0	0	0	0	143	0	0	0	0	2	0	0	0	0	0	0	52	0	0	1	115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	240	0	0	0	0	0	3	0	0	66	0	0	0	0	0	0	0	0	0	114	0	4	0	74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	16	0	0	0	0	0	0	0	7	0	35	0	0	0	1	166	0	0	1	31	0	0	0	0	0	0	0	0	0	0	102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu899	0	18	0	15	0	1	0	0	0	0	220	0	0	0	11	0	3	777	0	0	0	8	6	8	2	0	3	0	0	63	1	0	0	0	0	0	71	2	4	1	0	0	0	0	32	804	0	15	293	891	0	0	2119	0	0	0	28	1	4	79	4	5	0	0	0	2	0	18	0	4	0	2	2	0	0	4	0	1	2	0	0	11	0	0	0	34	0	0	0	0	110	29	0	0	0	0	0	0	1	152	308	0	3	0	3726	33	39	0	8	1	0	2	3563	0	0	0	0	0	0	1	0	0	9	0	0	31	0	0	0	1	13	1	0	82	9	11	0	50	1	15	0	0	1	3	0	0	0	0	0	1	0	1	0	464	1	16	0	1	0	4	146	0	0	156	1	0	0	0	64	4	4	0	0	3	319	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu32	0	0	0	0	0	0	0	6427	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2741	0	0	0	52	0	0	0	3066	0	0	0	0	0	845	0	0	0	0	0	0	0	0	0	0	0	0	0	0	477	0	0	0	0	0	0	0	0	0	0	0	8257	0	0	0	0	1	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu35	173	87	1	2	26	0	0	0	1	1	0	152	0	0	0	0	0	1626	0	0	20	0	126	0	0	29	186	0	86	739	1842	49	1	0	0	0	65	0	144	0	94	87	105	144	1017	280	152	1	1020	0	294	0	108	7	0	0	4516	4	0	3	56	128	313	133	194	2	9	0	2007	155	0	100	3035	0	207	0	0	1	0	1	0	138	0	0	153	0	1	0	0	0	1014	0	0	0	0	203	0	1	227	3502	1	1	0	1	95	0	1161	0	163	75	0	5	76	0	0	115	6235	0	0	62	76	0	149	160	0	2504	40	271	1	3	0	7	41	0	0	3958	649	423	0	3679	1	11	0	91	0	2	0	1	0	68	2	0	0	183	0	145	0	1	91	77	912	0	27	1032	812	0	132	0	419	0	1634	1	91	4	109	4231	0	0	0	964	98	0	16	23	18	0	0	0	0	0	2224	0	495	0	291	3	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu3577	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu13	1	1	0	0	1	105	5	4	15	8	1	2	0	10145	0	2	0	0	24	0	16	1	0	1	3	0	1	13	0	0	1	0	8	2	1	0	3	5	0	0	0	0	3	0	0	0	6	0	0	0	0	10	6	9	0	5	0	57	59	0	0	7	5	0	0	18	0	0	1	1	2	15	0	0	6	24539	5	0	0	1	0	11	0	0	13	35869	0	0	9	0	0	0	0	0	0	0	11	16677	10	0	3	9	1	42	0	31	1	3	8	18	0	0	0	16626	7643	0	0	0	15	5	23	0	0	24	0	0	2	0	0	2	5	0	0	1	0	0	0	0	31	0	0	0	15	0	0	0	0	11	7478	0	0	0	30509	0	12	6	8	0	0	0	0	11131	0	2	0	4	0	8	2	1	0	0	0	0	7	0	0	4	35	1	0	0	19	0	1	5	915	0	0	0	0	0	7	0	3	12	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
Zotu19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	187	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	811	0	0	0	0	27751	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	112	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	22234	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	12	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	13	0	0	0	0	0	0	1	0	1	0	0	0	8	0	0	2	0	2	0	21	0	0	0	1	0	36	0	23	0	74	109	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu582	0	0	68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51	0	0	0	22	0	1	0	0	0	0	0	0	0	0	0	0	0	0	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	2	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
