#OTU ID	C29	G45	G3A	C52	G46B	G44	C6A	G29	C48A	G47A	G12A	G41B	C7A	G25A	G54	C63C	G16	G24A	G43A	C59	G60	C46B	G6B	G6A	C40A	G58	C34A	G36B	C47B	G33B	C21	C19A	C42A	G28	C65A	G46A	G8B	G27	G42C	G1	C31A	NEGCON11	G2B	C25B	C50B	C32B	C27	C30B	C2B	G32B	G23	G59	G19B	G18	C36B	G42B	G40B	G8A	G10A	NEGCON9	C37B	POSCON1	C51	G24B	G57	C9A	C7B	G65B	C41B	C5A	G31B	C15A	G11B	G62	G53	C63A	NEGCON10	G37B	G38A	C45A	G30B	G42A	G47B	C20	G65D	G31A	G19A	C33A	C31B	C24A	G14	NEGCON6	G26	G38B	G15A	C37A	C50A	G40A	C42B	G48B	G9B	G20	G10B	C46A	C28	NEGCON1	G39B	G43B	G17	G30A	G2A	C54	G48A	C43B	C1	C38A	G12B	C19B	G25B	C65D	C34B	C47A	C32A	G21	C49A	C38B	G32A	G37A	C43A	C57	C18	G51	G36A	C48B	G50B	C8B	C41A	C17	NEGCON5	G41A	C3A	G34A	G49A	G63A	C26	G11A	C35A	G35A	C24B	G7B	C25A	G3B	NEGCON3	G63B	C40B	C10A	C62	C8A	C64	G35B	G65A	G5A	C33B	C2A	C65B	C6B	C39B	C23	C22	C3B	G39A	C16	C58	C61	C42C	G34B	C9B	C4A	C30A	POSCON2	C12B	C36A	G22	C39A	G65C	G13	NEGCON4	C55	C11B	C13	C65C	G9A	G7A	NEGCON7	C12A	C35B	CTRL1	C53	G64	NEGCON2	C49B	G52	C11A	C63B	C10B	G4A	C14	C60	G33A	G63C	G61	G55	NEGCON8
Zotu1	25	465	455	1675	439	1965	665	416	1413	122	1539	1656	684	472	406	1096	3911	0	0	679	1081	485	511	3222	173	596	121	0	392	0	40	0	48	995	0	1256	1	0	669	790	152	0	1	220	2515	232	0	26	1162	998	687	418	407	233	95	1517	0	165	158	775	0	0	1174	918	1449	369	424	0	0	0	275	131	0	522	685	945	168	0	0	316	0	95	0	38	0	0	232	1808	0	0	2090	0	1180	2613	644	0	406	0	0	509	420	867	395	737	1	1643	1592	715	1336	0	0	78	3587	1060	439	964	464	173	500	0	506	108	1	101	1364	229	54	885	253	663	367	1839	784	1883	1947	345	568	630	0	0	519	0	3607	442	162	502	0	532	2	498	0	1	0	481	0	0	0	611	0	138	155	55	158	517	1	2248	9	471	189	367	2531	131	0	0	0	0	76	380	0	2	0	222	1094	0	1356	0	0	0	0	0	0	2	12	0	0	0	0	113	0	0	0	17	0	46	0	1	0	6	0	0	0	3	0
Zotu23	25	0	7	73	42	548	84	0	224	0	0	769	0	0	96	0	0	0	0	0	100	20	0	356	0	0	43	0	3	0	282	41	184	0	0	72	433	29	0	0	0	0	0	112	59	0	0	0	127	0	1	126	158	162	48	59	0	0	113	340	0	114	44	0	0	0	2062	0	0	772	238	12	0	443	53	0	0	0	0	134	0	134	0	3	0	0	0	138	0	0	0	38	142	0	54	0	138	0	2	219	110	114	260	0	6	0	427	742	106	0	19	0	226	333	15	0	0	159	174	0	37	0	0	30	189	0	54	0	0	0	280	205	0	105	0	73	183	124	0	1654	0	0	0	0	2	0	0	140	0	2053	22	0	0	79	0	0	0	31	0	24	0	115	1	0	1	0	364	0	100	0	1225	94	0	31	0	0	88	417	48	0	0	58	333	0	0	83	0	0	0	0	0	2	3	0	0	0	0	53	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
Zotu181	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	132	0	0	0	0	0	0	0	0	0	190	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	292	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu11	5	146	40	0	0	0	1	0	0	0	798	2009	0	272	0	0	862	15099	0	0	0	1	3698	0	0	0	0	0	249	136	0	0	0	0	0	1	0	1	839	0	0	0	483	0	0	0	0	0	1	1	0	0	0	0	0	597	1317	838	2	0	0	0	0	132	0	0	0	2	0	0	0	0	0	0	421	0	0	0	0	1	0	0	158	0	3304	0	0	0	4	0	910	0	1	0	514	0	0	0	0	0	136	88	340	0	0	0	1143	371	1459	0	0	0	0	11	326	0	113	39	242	406	0	0	0	132	0	0	2378	1	5	241	0	0	374	0	1	0	0	0	1	3483	0	0	0	124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	140	1	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0
Zotu2	0	0	694	917	0	740	972	1327	3522	0	681	0	1	0	543	1	539	548	548	0	1094	794	987	3012	0	2503	134	0	437	0	39	0	0	0	0	0	1018	0	0	1893	19	0	0	0	1084	186	0	18	2982	0	1383	0	242	867	14	21	1276	444	54	313	1	0	348	0	7044	192	0	1	84	34	279	0	0	3982	738	208	0	0	1510	132	0	101	318	13	0	0	0	357	1	0	838	0	843	1	627	90	0	0	84	485	56	220	2913	161	0	0	169	615	939	1054	904	0	2388	79	600	775	294	123	202	334	184	937	0	64	1653	810	147	1	166	790	186	1150	817	351	0	1	0	1283	0	0	642	0	461	268	587	468	0	140	207	102	12	0	0	227	0	85	0	37	1	214	0	0	339	0	0	425	76	2	1041	330	0	0	600	1554	0	0	0	0	1	0	0	69	1899	103	0	0	0	1	0	1	0	1	13	0	0	0	0	0	1	1	1	11	0	0	0	0	0	5	1	0	0	0	0
Zotu7400	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	41	0	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	3	0	0	0	0	8	0	0	7	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	1	0	22	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu57	0	0	1547	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	929	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	190	0	0	0	0	0	271	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	455	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Zotu32	0	0	0	41	0	0	0	0	0	0	0	0	0	0	0	48	0	0	0	1219	3043	0	0	0	0	543	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	155	0	0	62	0	0	0	0	0	59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49	0	0	0	0	0	0	0	1	0	0	0	0	0	896	0	0	0	0	0	0	0	0	0	0	0	0	2206	0	227	0	0	0	0	0	0	0	0	0	0	0	0	0	0	75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0
Zotu109	0	0	0	0	0	0	528	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	948	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu178	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	191	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	94	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	367	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
